DateTime,Junction,Vehicles,ID,day,holiday,weather condition
11/1/2015 0:00,1,15,20151101001,Monday,yes,sunny
11/1/2015 1:00,1,13,20151101011,Tuesday,Yes,rainy
11/1/2015 2:00,1,10,20151101021,Wednesday,Yes,dry
11/1/2015 3:00,1,7,20151101031,Thursday,Yes,sunny
11/1/2015 4:00,1,9,20151101041,Friday,No,sunny
11/1/2015 5:00,1,6,20151101051,Saturday,Yes,sunny
11/1/2015 6:00,1,9,20151101061,Sunday,Yes,rainy
11/1/2015 7:00,1,8,20151101071,Monday,Yes,sunny
11/1/2015 8:00,1,11,20151101081,Tuesday,Yes,sunny
11/1/2015 9:00,1,12,20151101091,Wednesday,No,sunny
11/1/2015 10:00,1,15,20151101101,Thursday,No,rainy
11/1/2015 11:00,1,17,20151101111,Friday,No,dry
11/1/2015 12:00,1,16,20151101121,Saturday,Yes,sunny
11/1/2015 13:00,1,15,20151101131,Sunday,No,sunny
11/1/2015 14:00,1,16,20151101141,Monday,No,sunny
11/1/2015 15:00,1,12,20151101151,Tuesday,No,rainy
11/1/2015 16:00,1,12,20151101161,Wednesday,Yes,sunny
11/1/2015 17:00,1,16,20151101171,Thursday,Yes,sunny
11/1/2015 18:00,1,17,20151101181,Friday,No,sunny
11/1/2015 19:00,1,20,20151101191,Saturday,No,rainy
11/1/2015 20:00,1,17,20151101201,Sunday,Yes,dry
11/1/2015 21:00,1,19,20151101211,Monday,No,sunny
11/1/2015 22:00,1,20,20151101221,Tuesday,No,sunny
11/1/2015 23:00,1,15,20151101231,Wednesday,Yes,sunny
11/2/2015 0:00,1,14,20151102001,Thursday,Yes,rainy
11/2/2015 1:00,1,12,20151102011,Friday,No,sunny
11/2/2015 2:00,1,14,20151102021,Saturday,No,sunny
11/2/2015 3:00,1,12,20151102031,Sunday,No,sunny
11/2/2015 4:00,1,12,20151102041,Monday,Yes,rainy
11/2/2015 5:00,1,11,20151102051,Tuesday,Yes,dry
11/2/2015 6:00,1,13,20151102061,Wednesday,No,sunny
11/2/2015 7:00,1,14,20151102071,Thursday,No,sunny
11/2/2015 8:00,1,12,20151102081,Friday,Yes,sunny
11/2/2015 9:00,1,22,20151102091,Saturday,Yes,rainy
11/2/2015 10:00,1,32,20151102101,Sunday,Yes,sunny
11/2/2015 11:00,1,31,20151102111,Monday,No,sunny
11/2/2015 12:00,1,35,20151102121,Tuesday,Yes,sunny
11/2/2015 13:00,1,26,20151102131,Wednesday,No,rainy
11/2/2015 14:00,1,34,20151102141,Thursday,Yes,dry
11/2/2015 15:00,1,30,20151102151,Friday,No,sunny
11/2/2015 16:00,1,27,20151102161,Saturday,Yes,sunny
11/2/2015 17:00,1,27,20151102171,Sunday,Yes,sunny
11/2/2015 18:00,1,24,20151102181,Monday,No,rainy
11/2/2015 19:00,1,26,20151102191,Tuesday,No,sunny
11/2/2015 20:00,1,29,20151102201,Wednesday,Yes,sunny
11/2/2015 21:00,1,32,20151102211,Thursday,Yes,sunny
11/2/2015 22:00,1,30,20151102221,Friday,No,rainy
11/2/2015 23:00,1,27,20151102231,Saturday,Yes,dry
11/3/2015 0:00,1,21,20151103001,Sunday,No,sunny
11/3/2015 1:00,1,18,20151103011,Monday,Yes,sunny
11/3/2015 2:00,1,19,20151103021,Tuesday,No,sunny
11/3/2015 3:00,1,13,20151103031,Wednesday,Yes,rainy
11/3/2015 4:00,1,11,20151103041,Thursday,Yes,sunny
11/3/2015 5:00,1,11,20151103051,Friday,Yes,sunny
11/3/2015 6:00,1,11,20151103061,Saturday,No,sunny
11/3/2015 7:00,1,14,20151103071,Sunday,Yes,rainy
11/3/2015 8:00,1,15,20151103081,Monday,No,dry
11/3/2015 9:00,1,29,20151103091,Tuesday,No,sunny
11/3/2015 10:00,1,33,20151103101,Wednesday,Yes,sunny
11/3/2015 11:00,1,32,20151103111,Thursday,Yes,sunny
11/3/2015 12:00,1,32,20151103121,Friday,No,rainy
11/3/2015 13:00,1,29,20151103131,Saturday,Yes,sunny
11/3/2015 14:00,1,27,20151103141,Sunday,No,sunny
11/3/2015 15:00,1,26,20151103151,Monday,Yes,sunny
11/3/2015 16:00,1,28,20151103161,Tuesday,Yes,rainy
11/3/2015 17:00,1,26,20151103171,Wednesday,No,dry
11/3/2015 18:00,1,25,20151103181,Thursday,No,sunny
11/3/2015 19:00,1,29,20151103191,Friday,Yes,sunny
11/3/2015 20:00,1,26,20151103201,Saturday,Yes,sunny
11/3/2015 21:00,1,24,20151103211,Sunday,No,rainy
11/3/2015 22:00,1,25,20151103221,Monday,No,sunny
11/3/2015 23:00,1,20,20151103231,Tuesday,Yes,sunny
11/4/2015 0:00,1,18,20151104001,Wednesday,Yes,sunny
11/4/2015 1:00,1,18,20151104011,Thursday,Yes,rainy
11/4/2015 2:00,1,13,20151104021,Friday,No,dry
11/4/2015 3:00,1,13,20151104031,Saturday,No,sunny
11/4/2015 4:00,1,10,20151104041,Sunday,No,sunny
11/4/2015 5:00,1,12,20151104051,Monday,Yes,sunny
11/4/2015 6:00,1,13,20151104061,Tuesday,No,rainy
11/4/2015 7:00,1,11,20151104071,Wednesday,Yes,sunny
11/4/2015 8:00,1,13,20151104081,Thursday,No,sunny
11/4/2015 9:00,1,22,20151104091,Friday,No,sunny
11/4/2015 10:00,1,26,20151104101,Saturday,No,rainy
11/4/2015 11:00,1,27,20151104111,Sunday,Yes,dry
11/4/2015 12:00,1,31,20151104121,Monday,No,sunny
11/4/2015 13:00,1,24,20151104131,Tuesday,No,sunny
11/4/2015 14:00,1,23,20151104141,Wednesday,Yes,sunny
11/4/2015 15:00,1,26,20151104151,Thursday,No,rainy
11/4/2015 16:00,1,26,20151104161,Friday,No,sunny
11/4/2015 17:00,1,24,20151104171,Saturday,No,sunny
11/4/2015 18:00,1,23,20151104181,Sunday,No,sunny
11/4/2015 19:00,1,25,20151104191,Monday,No,rainy
11/4/2015 20:00,1,26,20151104201,Tuesday,No,dry
11/4/2015 21:00,1,24,20151104211,Wednesday,No,sunny
11/4/2015 22:00,1,26,20151104221,Thursday,No,sunny
11/4/2015 23:00,1,24,20151104231,Friday,No,sunny
11/5/2015 0:00,1,19,20151105001,Saturday,No,rainy
11/5/2015 1:00,1,20,20151105011,Sunday,Yes,sunny
